Khufiya,2023,No Certificate,157,"Action, Biography, Crime",6.0,"Krishna Mehra is an operative at Indian spy agency known as R&AW. She is assigned to track down the mole selling India's defense secrets, while all along grappling with her dual identity as a spy and a lover.",Vishal Bhardwaj,"4,151"
Everything Everywhere All at Once,2022,R,139,"Action, Adventure, Comedy",7.8,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,Daniel Kwan,"484,866"
Gladiator,2000,R,155,"Action, Adventure, Drama",8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,"1,570,917"
Dune: Part Two,2024,PG-13,195,"Action, Adventure, Drama",0.0,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,Denis Villeneuve,0
Inception,2010,PG-13,148,"Action, Adventure, Sci-Fi",8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"2,479,847"
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,"Action, Adventure, Drama",8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"1,953,256"
Blade Runner 2049,2017,R,164,"Action, Drama, Mystery",8.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,"628,755"
Gemini Man,2019,PG-13,117,"Action, Sci-Fi, Thriller",5.7,An over-the-hill hitman faces off against a younger clone of himself.,Ang Lee,"119,227"
John Wick,2014,R,101,"Action, Crime, Thriller",7.4,An ex-hitman comes out of retirement to track down the gangsters who killed his dog and stole his car.,Chad Stahelski,"717,362"
Transformers: Rise of the Beasts,2023,PG-13,127,"Action, Adventure, Sci-Fi",6.1,"During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth.",Steven Caple Jr.,"85,568"
